model,threshold,precision,recall,f1
TF-IDF + LR,0.1,0.45569620253164556,1.0,0.6260869565217392
TF-IDF + LR,0.15,0.4595744680851064,1.0,0.6297376093294461
TF-IDF + LR,0.2,0.5047169811320755,0.9907407407407407,0.66875
TF-IDF + LR,0.25,0.5846994535519126,0.9907407407407407,0.7353951890034365
TF-IDF + LR,0.3,0.6948051948051948,0.9907407407407407,0.816793893129771
TF-IDF + LR,0.35,0.7878787878787878,0.9629629629629629,0.8666666666666667
TF-IDF + LR,0.4,0.8632478632478633,0.9351851851851852,0.8977777777777778
TF-IDF + LR,0.45,0.9166666666666666,0.9166666666666666,0.9166666666666666
TF-IDF + LR,0.5,0.9489795918367347,0.8611111111111112,0.9029126213592233
TF-IDF + LR,0.55,0.946236559139785,0.8148148148148148,0.8756218905472637
TF-IDF + LR,0.6,0.9746835443037974,0.7129629629629629,0.8235294117647058
TF-IDF + LR,0.65,0.972972972972973,0.6666666666666666,0.7912087912087912
TF-IDF + LR,0.7,0.9710144927536232,0.6203703703703703,0.7570621468926554
TF-IDF + LR,0.75,0.96875,0.5740740740740741,0.7209302325581395
TF-IDF + LR,0.8,1.0,0.5462962962962963,0.7065868263473054
TF-IDF + LR,0.85,1.0,0.4166666666666667,0.5882352941176471
TF-IDF + LR,0.9,1.0,0.2777777777777778,0.43478260869565216
MiniLM Embeddings + LR,0.1,0.5,1.0,0.6666666666666666
MiniLM Embeddings + LR,0.15,0.5608465608465608,0.9814814814814815,0.7138047138047138
MiniLM Embeddings + LR,0.2,0.6140350877192983,0.9722222222222222,0.7526881720430108
MiniLM Embeddings + LR,0.25,0.6959459459459459,0.9537037037037037,0.8046875
MiniLM Embeddings + LR,0.3,0.7481481481481481,0.9351851851851852,0.831275720164609
MiniLM Embeddings + LR,0.35,0.8064516129032258,0.9259259259259259,0.8620689655172413
MiniLM Embeddings + LR,0.4,0.8761061946902655,0.9166666666666666,0.8959276018099548
MiniLM Embeddings + LR,0.45,0.8962264150943396,0.8796296296296297,0.8878504672897196
MiniLM Embeddings + LR,0.5,0.9479166666666666,0.8425925925925926,0.8921568627450981
MiniLM Embeddings + LR,0.55,0.978021978021978,0.8240740740740741,0.8944723618090452
MiniLM Embeddings + LR,0.6,0.9886363636363636,0.8055555555555556,0.8877551020408163
MiniLM Embeddings + LR,0.65,0.9878048780487805,0.75,0.8526315789473684
MiniLM Embeddings + LR,0.7,0.9873417721518988,0.7222222222222222,0.8342245989304813
MiniLM Embeddings + LR,0.75,0.9868421052631579,0.6944444444444444,0.8152173913043478
MiniLM Embeddings + LR,0.8,0.9861111111111112,0.6574074074074074,0.7888888888888889
MiniLM Embeddings + LR,0.85,1.0,0.6111111111111112,0.7586206896551724
MiniLM Embeddings + LR,0.9,1.0,0.48148148148148145,0.65
DistilBERT,0.1,0.9099099099099099,0.9351851851851852,0.9223744292237442
DistilBERT,0.15,0.926605504587156,0.9351851851851852,0.9308755760368663
DistilBERT,0.2,0.9433962264150944,0.9259259259259259,0.9345794392523364
DistilBERT,0.25,0.9523809523809523,0.9259259259259259,0.9389671361502347
DistilBERT,0.3,0.9519230769230769,0.9166666666666666,0.9339622641509434
DistilBERT,0.35,0.9514563106796117,0.9074074074074074,0.9289099526066351
DistilBERT,0.4,0.9514563106796117,0.9074074074074074,0.9289099526066351
DistilBERT,0.45,0.9514563106796117,0.9074074074074074,0.9289099526066351
DistilBERT,0.5,0.9514563106796117,0.9074074074074074,0.9289099526066351
DistilBERT,0.55,0.9514563106796117,0.9074074074074074,0.9289099526066351
DistilBERT,0.6,0.9607843137254902,0.9074074074074074,0.9333333333333333
DistilBERT,0.65,0.97,0.8981481481481481,0.9326923076923077
DistilBERT,0.7,0.97,0.8981481481481481,0.9326923076923077
DistilBERT,0.75,0.9795918367346939,0.8888888888888888,0.9320388349514563
DistilBERT,0.8,0.9795918367346939,0.8888888888888888,0.9320388349514563
DistilBERT,0.85,0.989247311827957,0.8518518518518519,0.9154228855721394
DistilBERT,0.9,1.0,0.8333333333333334,0.9090909090909091
